STATION,NAME,Day,Average_T,Max_T,Min_T
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/15/2017,66,75,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/16/2017,60.5,67,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/17/2017,59,65,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/18/2017,61.5,68,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/19/2017,58,63,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/20/2017,60.5,64,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/21/2017,61,69,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/22/2017,61,64,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/23/2017,57.5,63,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/24/2017,56.5,64,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/25/2017,58.5,65,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/26/2017,59,64,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/27/2017,60,65,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/28/2017,59,68,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/29/2017,61.5,72,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/30/2017,60,66,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/31/2017,58,65,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/1/2017,58,67,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/2/2017,62,71,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/3/2017,60,63,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/4/2017,61.5,66,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/5/2017,63.5,74,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/6/2017,63,72,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/7/2017,62,69,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/8/2017,60,66,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/9/2017,57,64,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/10/2017,59.5,69,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/11/2017,61.5,71,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/12/2017,59.5,67,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/13/2017,63,70,56
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/14/2017,57.5,64,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/15/2017,60,69,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/16/2017,61,69,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/17/2017,61,68,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/18/2017,64,69,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/19/2017,63.5,69,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/20/2017,60.5,68,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/21/2017,65.5,76,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/22/2017,70,82,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/23/2017,64.5,71,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/24/2017,63.5,67,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/25/2017,63.5,68,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/26/2017,63,71,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/27/2017,63,67,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/28/2017,64,71,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/29/2017,69.5,81,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",4/30/2017,68,77,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/1/2017,65,74,56
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/2/2017,64,72,56
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/3/2017,65.5,72,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/4/2017,66,71,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/5/2017,61.5,63,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/6/2017,57,64,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/7/2017,54.5,60,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/8/2017,56.5,64,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/9/2017,61,64,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/10/2017,61.5,64,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/11/2017,62.5,67,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/12/2017,61,64,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/13/2017,62.5,68,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/14/2017,60.5,66,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/15/2017,58.5,61,56
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/16/2017,59,63,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/17/2017,61,65,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/18/2017,61,67,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/19/2017,67.5,78,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/20/2017,71,81,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/21/2017,66,73,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/22/2017,64,69,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/23/2017,66.5,73,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/24/2017,64,68,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/25/2017,62,65,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/26/2017,65,69,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/27/2017,63,67,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/28/2017,61,67,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/29/2017,62,65,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/30/2017,62,65,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",5/31/2017,62,64,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/1/2017,64,68,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/2/2017,65.5,69,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/3/2017,64.5,67,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/4/2017,62.5,65,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/5/2017,63,66,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/6/2017,63,65,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/7/2017,#DIV/0!,,
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/8/2017,63.5,68,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/9/2017,65,69,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/10/2017,63.5,67,60
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/11/2017,62,67,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/12/2017,61.5,69,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/13/2017,63,72,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/14/2017,65.5,73,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/15/2017,68,77,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/16/2017,68.5,78,59
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/17/2017,69,75,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/18/2017,67,73,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/19/2017,69.5,77,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/20/2017,67,72,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/21/2017,66.5,71,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/22/2017,66.5,71,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/23/2017,66,69,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/24/2017,66,70,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/25/2017,68.5,74,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/26/2017,72.5,81,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/27/2017,69.5,77,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/28/2017,65,69,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/29/2017,66,70,62
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",6/30/2017,66.5,70,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/1/2017,66.5,70,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/2/2017,67.5,71,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/3/2017,68.5,74,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/4/2017,68.5,73,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/5/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/6/2017,70,75,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/7/2017,73,81,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/8/2017,75,81,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/9/2017,76,83,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/10/2017,73.5,78,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/11/2017,72,76,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/12/2017,72.5,76,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/13/2017,72.5,77,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/14/2017,71,75,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/15/2017,71,75,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/16/2017,71,76,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/17/2017,71.5,75,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/18/2017,70.5,74,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/19/2017,72.5,76,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/20/2017,72.5,77,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/21/2017,71.5,75,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/22/2017,71,74,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/23/2017,71.5,76,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/24/2017,72,76,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/25/2017,71,73,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/26/2017,72,75,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/27/2017,72,76,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/28/2017,70.5,74,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/29/2017,70.5,75,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/30/2017,70.5,75,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",7/31/2017,70.5,73,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/1/2017,73.5,79,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/2/2017,77.5,84,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/3/2017,76,81,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/4/2017,74.5,78,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/5/2017,72.5,76,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/6/2017,72,75,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/7/2017,72.5,76,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/8/2017,71.5,75,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/9/2017,70.5,74,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/10/2017,70,74,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/11/2017,70.5,75,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/12/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/13/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/14/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/15/2017,66,68,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/16/2017,68,72,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/17/2017,67.5,74,61
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/18/2017,69.5,73,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/19/2017,68.5,72,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/20/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/21/2017,70.5,75,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/22/2017,68.5,74,63
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/23/2017,66.5,68,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/24/2017,67,70,64
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/25/2017,68.5,71,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/26/2017,69.5,74,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/27/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/28/2017,69.5,74,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/29/2017,73,81,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/30/2017,74.5,83,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",8/31/2017,77.5,85,70
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/1/2017,80,89,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/2/2017,81,91,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/3/2017,81.5,92,71
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/4/2017,72,75,69
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/5/2017,72,77,67
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/6/2017,72.5,77,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/7/2017,71.5,77,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/8/2017,71,74,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/9/2017,71.5,75,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/10/2017,71.5,77,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/11/2017,75,82,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/12/2017,71,74,68
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/13/2017,69,73,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/14/2017,70,74,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/15/2017,69.5,73,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/16/2017,69,72,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/17/2017,69,72,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/18/2017,69.5,74,65
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/19/2017,69.5,73,66
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",9/20/2017,70,73,67
